Date,close,high,low,open,volume
2025-09-18,9075.0,9115.0,9025.0,9099.5,183574
2025-09-19,8971.5,9063.5,8950.5,9050.0,467648
2025-09-22,9054.5,9195.0,8959.5,8971.5,525239
2025-09-23,8984.5,9225.0,8950.0,9079.0,451186
2025-09-24,8839.0,8999.0,8804.0,8990.0,240914
2025-09-25,8842.5,8910.0,8758.0,8821.0,441002
2025-09-26,8702.0,8880.0,8668.0,8830.0,335841
2025-09-29,8717.5,8829.0,8675.5,8745.0,394174
2025-09-30,8678.5,8769.0,8640.0,8721.0,285609
2025-10-01,8626.5,8846.5,8586.5,8720.0,551282
2025-10-03,8679.5,8698.5,8491.5,8626.5,915075
2025-10-06,8792.0,8803.5,8651.0,8698.0,300715
2025-10-07,8904.0,8915.0,8785.5,8800.0,490577
2025-10-08,8792.0,8903.0,8750.5,8903.0,408647
2025-10-09,8810.0,8817.5,8701.5,8775.0,217161
2025-10-10,8946.5,8955.0,8781.5,8816.0,228686
2025-10-13,9066.0,9084.0,8917.0,8947.0,374531
2025-10-14,9102.5,9120.0,9032.5,9100.0,297332
2025-10-15,8998.0,9180.0,8955.5,9106.5,300055
2025-10-16,9151.5,9177.0,9022.0,9030.0,334619
2025-10-17,9150.5,9194.5,9090.5,9150.0,466036
2025-10-20,9124.5,9236.5,9100.5,9194.5,303686
2025-10-21,9118.0,9165.0,9081.0,9159.5,27642
2025-10-23,9047.0,9157.0,9017.0,9136.0,249420
2025-10-24,9076.5,9099.0,9012.0,9070.0,332130
2025-10-27,9095.5,9115.0,9055.0,9099.5,310061
2025-10-28,9057.5,9130.0,9019.0,9100.0,459991
2025-10-29,9034.0,9090.0,8960.0,9090.0,226605
2025-10-30,8923.0,9065.0,8904.5,9034.0,250532
2025-10-31,8892.5,9051.0,8802.0,8939.5,261013
2025-11-03,8922.5,8957.5,8855.0,8900.0,206987
2025-11-04,8751.0,8920.0,8713.0,8920.0,517334
2025-11-06,8720.5,8820.5,8702.5,8755.0,326774
2025-11-07,8721.5,8749.5,8605.0,8720.0,290120
2025-11-10,8772.0,8838.0,8685.5,8795.0,992874
2025-11-11,8895.0,8945.0,8726.0,8819.0,380748
2025-11-12,8868.0,8935.0,8800.0,8935.0,439922
2025-11-13,8867.5,8895.5,8842.0,8888.0,276001
2025-11-14,8843.0,8867.5,8781.5,8867.5,550371
2025-11-17,8945.5,9025.0,8850.0,8850.0,457995
2025-11-18,8921.0,8999.0,8900.0,8975.5,276172
2025-11-19,8884.5,8975.0,8863.5,8950.0,326292
2025-11-20,8979.5,9005.0,8890.0,8924.0,189991
2025-11-21,8892.0,8957.5,8862.0,8950.0,320271
2025-11-24,9007.5,9049.0,8857.5,8905.0,466198
2025-11-25,9048.0,9145.0,9001.0,9025.0,482151
2025-11-26,9164.0,9180.0,9028.0,9054.0,354143
2025-11-27,9022.5,9254.5,8996.0,9194.0,602295
2025-11-28,9073.5,9106.0,8922.0,9031.0,432445
2025-12-01,9096.0,9189.5,9055.5,9129.0,449503
2025-12-02,9085.5,9142.0,8988.0,9100.0,319833
2025-12-03,9000.5,9105.0,8950.0,9085.5,412081
2025-12-04,9085.0,9095.0,8988.0,9005.0,275604
2025-12-05,9109.0,9130.0,9045.5,9054.0,279893
2025-12-08,9026.0,9124.5,8956.5,9115.0,299426
2025-12-09,8961.0,9034.5,8880.0,8990.0,373015
2025-12-10,8991.0,9001.5,8904.0,8961.0,307300
2025-12-11,9053.5,9084.0,8961.0,8991.0,136142
2025-12-12,9015.0,9089.5,8960.0,9065.0,356060
2025-12-15,8940.0,9042.5,8884.0,9040.0,507849
2025-12-16,9008.0,9028.0,8891.0,8940.0,278902
2025-12-17,8895.0,9009.0,8859.0,9008.0,256364
2025-12-18,8831.0,8891.0,8735.0,8891.0,338487
2025-12-19,9002.0,9011.0,8827.0,8830.5,215196
2025-12-22,9164.0,9185.0,8997.5,9010.0,377385
2025-12-23,9099.0,9184.0,9080.0,9184.0,215559
2025-12-24,9170.0,9194.5,9070.0,9100.0,167717
2025-12-26,9064.5,9185.5,9052.0,9182.5,105815
2025-12-29,9087.0,9127.0,9055.5,9069.5,263943
2025-12-30,9282.0,9299.0,9025.5,9087.0,464922
2025-12-31,9343.0,9398.0,9296.5,9320.0,319864
2026-01-01,9558.0,9585.0,9318.5,9365.0,306936
2026-01-02,9502.5,9633.0,9310.5,9550.0,733651
2026-01-05,9497.5,9684.0,9465.0,9520.0,304245
2026-01-06,9661.0,9783.5,9543.0,9575.0,503002
2026-01-07,9789.5,9807.0,9608.0,9668.0,334802
2026-01-08,9760.5,9888.0,9725.0,9799.5,534086
2026-01-09,9562.5,9830.0,9538.0,9760.5,250994
2026-01-12,9491.0,9588.5,9360.0,9562.5,332453
2026-01-13,9554.0,9576.5,9458.5,9506.0,229215
2026-01-14,9579.5,9610.0,9494.0,9576.0,335206
2026-01-15,9579.5,9579.5,9579.5,9579.5,0
2026-01-16,9489.0,9616.5,9389.5,9540.0,528450
2026-01-19,9429.5,9489.0,9393.5,9489.0,403445
2026-01-20,9180.0,9468.0,9155.0,9468.0,385253
2026-01-21,9179.0,9255.0,9072.0,9150.0,323092
2026-01-22,9370.0,9391.5,9185.5,9225.0,193757
2026-01-23,9413.5,9548.0,9335.0,9390.0,204212
2026-01-27,9492.0,9506.0,9330.0,9422.0,302065
2026-01-28,9433.5,9533.5,9250.0,9500.0,342407
2026-01-29,9512.0,9533.0,9381.5,9475.0,390096
2026-01-30,9597.5,9626.0,9382.5,9497.0,283660
2026-02-02,9496.5,9523.0,9250.5,9454.5,327240
2026-02-03,9595.5,9941.0,9515.0,9933.0,573385
2026-02-04,9639.0,9725.0,9529.5,9594.0,201083
2026-02-05,9647.0,9679.0,9600.0,9640.0,155663
2026-02-06,9518.5,9668.0,9471.5,9620.0,198790
2026-02-09,9590.0,9626.5,9505.0,9598.0,171033
2026-02-10,9774.0,9833.5,9582.5,9605.0,347018
2026-02-11,9869.5,9905.5,9796.0,9818.0,324008
2026-02-12,9840.0,9930.0,9809.5,9876.5,372062
2026-02-13,9760.0,9900.5,9720.0,9800.5,120688
2026-02-16,9697.5,9774.5,9643.0,9710.0,88321
2026-02-17,9826.5,9869.0,9632.5,9651.0,159113
2026-02-18,9980.0,10009.0,9804.5,9826.5,334455
2026-02-19,9729.0,10059.5,9701.0,9991.0,310761
2026-02-20,9807.0,9823.0,9670.5,9725.0,291070
2026-02-23,9905.5,9930.0,9814.0,9851.0,145464
2026-02-24,9829.0,9875.0,9660.0,9875.0,259761
2026-02-25,10097.0,10160.0,9839.5,9859.5,334366
2026-02-26,10110.0,10187.0,10029.5,10146.5,177814
2026-02-27,9972.5,10091.5,9940.0,10072.5,231926
2026-03-02,9776.0,9941.5,9565.0,9725.5,330330
2026-03-04,9652.5,9704.5,9516.5,9516.5,319652
2026-03-05,9804.5,9853.0,9641.0,9674.5,300749
2026-03-06,9816.0,9884.5,9690.0,9780.0,386552
2026-03-09,9383.0,9645.5,9351.0,9600.0,334501
2026-03-10,9610.0,9637.5,9349.0,9449.5,463535
2026-03-11,9327.5,9666.0,9270.0,9575.0,489382
2026-03-12,9162.0,9280.0,9080.0,9280.0,390062
2026-03-13,8875.0,9119.5,8832.5,9075.0,435631
2026-03-16,9073.0,9103.5,8742.5,8866.0,580318
2026-03-17,9110.0,9250.0,9006.5,9100.0,245258
2026-03-18,9271.0,9288.0,9136.5,9150.0,247437
2026-03-19,8868.5,9150.0,8811.0,9113.5,288162
2026-03-20,9051.0,9110.0,8931.5,8957.5,356410
2026-03-23,8776.0,8989.5,8752.0,8989.5,375189
2026-03-24,8898.0,9022.5,8792.0,8900.0,438132
2026-03-25,9048.5,9149.5,8981.0,9020.0,438761
2026-03-27,8901.0,9004.0,8840.0,8971.5,326675
2026-03-30,8781.5,8889.0,8745.0,8810.0,325094
2026-04-01,8895.5,9170.0,8870.0,8993.5,416423
2026-04-02,8758.5,8835.5,8624.0,8835.5,254975
2026-04-06,8942.5,8984.5,8755.0,8778.5,313792
2026-04-07,9049.5,9088.0,8800.5,8900.0,376810
2026-04-08,9366.0,9501.0,9262.0,9365.0,474100
2026-04-09,9517.0,9625.0,9366.0,9455.0,539407
2026-04-10,9813.5,9844.0,9399.5,9400.0,738971
2026-04-13,9816.0,9851.0,9700.0,9701.5,363886
2026-04-15,9865.0,9976.0,9830.0,9901.5,551624
2026-04-16,9825.0,9918.5,9746.0,9871.0,479220
2026-04-17,9773.5,9830.0,9722.0,9810.0,264410
